sjj_Y34D9A_152.d	WBGene00021328(npr-23),Y34D9A.2
cenix:121-b12	WBGene00011796,T16G1.2
mv_F55C5.7	WBGene00010096(rskd-1),F55C5.7
smd_C47E12.4:3	WBGene00008149(pyp-1),C47E12.4
mv_Y55F3AM.2	WBGene00005903(srx-12),Y55F3AM.2
sjj2_C54F6.11	WBGene00016928(srb-19),C54F6.11
cenix:99-b8	WBGene00013823,Y116F11B.7
smd_7T13A10.4	WBGene00003754(nlp-16),T13A10.5
sjj_F13D11.1	WBGene00017427(acp-5),F13D11.1
cenix:30-h9	WBGene00009216,F28D1.6
cenix:325-b2	WBGene00012306,W06F12.2
smd_T02H7.3_1	WBGene00021404(trpl-3),Y38C1AB.2
smd_BE10.1	WBGene00007209,BE10.1
mv_Y110A2AL.7	WBGene00022444,Y110A2AL.7
sjj_W09G10.2	WBGene00021116(ncs-6),W09G10.3
cenix:94-e12	WBGene00018080,F36A4.1
cenix:52-b3	WBGene00000534(cpi-2),R01B10.1	WBGene00019805,R01B10.3
mv_F07C4.4	WBGene00005103(srd-25),F07C4.4
cenix:65-h10	WBGene00013000(ddl-2),Y48E1B.1
cenix:88-h8	WBGene00010491,K02B7.3
sjj_W03B1.5_1	WBGene00020978,W03B1.9
cenix:59-f7	WBGene00016934(mboa-3),C54G7.2
sjj_M176.2	WBGene00010941(gss-1),M176.2
sjj_K01A6.1	WBGene00010444(magi-1),K01A6.2
mv_F49A5.7	WBGene00009859(clec-33),F49A5.7
cenix:21-h7	WBGene00012386(agef-1),Y6B3A.1
sjj_R74.1	WBGene00003073(lars-1),R74.1
sjj_K08E5.2	WBGene00003519(nac-3),K08E5.2
sjj_C27A7.7	WBGene00005592(srj-4),C27A7.7
TH:307G9	WBGene00015158,B0361.4
mv_E01A2.5	WBGene00017087,E01A2.5
TH:312A9	WBGene00019196,H14A12.3
cenix:61-h7	WBGene00000951(deg-3),K03B8.9
smd_T17H7.1	WBGene00020550,T17H7.1
mv_CAA48207	WBGene00002992(lin-3),F36H1.4
mv_F55F8.9	WBGene00018897,F55F8.9
cenix:96-d1	WBGene00010172(oac-36),F56H6.12
cenix:20-e12	WBGene00008033(spin-2),C39E9.10
mv_F21H7.3	WBGene00009029,F21H7.3
sjj2_T19B10.10	WBGene00011837(srsx-33),T19B10.10
mv_C10G11.6	WBGene00015686,C10G11.6
sjj_F38A5.1	WBGene00018160(odr-8),F38A5.1
cenix:205-g1	WBGene00004207(ptb-1),D2089.4
TH:332a1	WBGene00012714(abce-1),Y39E4B.1
mv_B0035.8_2	WBGene00001885(his-11),ZK131.5
mv_C52A11.3	WBGene00008257,C52A11.3
cenix:335-g2	WBGene00001603(gln-2),K03H1.1	WBGene00010547,K03H1.12
cenix:168-e5	WBGene00219210,Y37H2A.18
cenix:154-b5_3	WBGene00022376,Y94H6A.3
sjj_Y106G6A.c	WBGene00013695(epg-8),Y106G6A.2
mv_ZC13.3	WBGene00022504(mam-1),ZC13.3
sjj2_Y55F3AM.14	WBGene00021931,Y55F3AM.14
TH:308B1	WBGene00006977(zif-1),F59B2.6
sjj_ZC477.2	WBGene00022617,ZC477.2
sjj_C09G9.3	WBGene00007494,C09G9.3
cenix:178-e2	WBGene00021815,Y53G8AR.8
cenix:153-d6	WBGene00022012,Y59H11AR.4
cenix:19-a8	WBGene00001000(dim-1),C18A11.7
sjj2_T15H9.2	WBGene00011788,T15H9.2
smd_ZK1086.3:2	WBGene00014217,ZK1086.3
cenix:32-h3	WBGene00008952,F19C6.3
sjj_C52E12.4	WBGene00016889(lst-6),C52E12.4
cenix:214-h6_2	WBGene00015098(snpc-3.1),B0273.3
cenix:305-g6	WBGene00000395(cdh-3),ZK112.7
smd_F52D2.5	WBGene00018687,F52D2.5
sjj_F57B9.9	WBGene00004133(abu-13),F57B9.9
sjj_W03B1.3	WBGene00020973,W03B1.3
sjj_F53G2.8	WBGene00018767,F53G2.2	WBGene00018770,F53G2.8
smd_Y55B1A_120.e	WBGene00021906,Y55B1AR.2
mv_F26E4.4	WBGene00009159,F26E4.4
sjj_C44F1.5	WBGene00000070(acy-3),C44F1.5
mv_C39E6.6	WBGene00003807(npr-1),C39E6.6
mv_F45E4.5	WBGene00018470,F45E4.5
sjj_Y51H4A.l	WBGene00013106(set-26),Y51H4A.12
sjj_T07A9.8	WBGene00020296,T07A9.8
cenix:130-h5	WBGene00015573,C07G1.7
mv_R173.3	WBGene00020125,R173.3
sjj_F26D2.12	WBGene00009150(clec-234),F26D2.12
cenix:46-f1	WBGene00001190(egl-23),Y37A1B.11
mv_W04D2.1a	WBGene00000228(atn-1),W04D2.1
mv_Y38E10A.12	WBGene00012590(nspe-3),Y38E10A.12
cenix:15-g10	WBGene00009054,F22D6.9
sjj_C29G2.4	WBGene00016232(srt-4),C29G2.4
sjj_W10G11.10	WBGene00005281(srh-59),W10G11.10
sjj_C53A5.10	WBGene00008268(srt-32),C53A5.10
sjj_B0205.1	WBGene00015017,B0205.1
mv_ZK6.8	WBGene00022643,ZK6.8
sjj_Y113G7A.6B	WBGene00006652(ttx-1),Y113G7A.6
smd_Y48G1C_55.f	WBGene00021662(snpc-3.3),Y48G1BL.1
cenix:312-f6	WBGene00044078(tag-243),T04A8.4
cenix:301-g7	WBGene00003901(paa-1),F48E8.5
mv_T05C12.10	WBGene00004264(qua-1),T05C12.10
sjj_C50B6.12	WBGene00006102(str-37),C50B6.12
sjj_C47E12.1	WBGene00005663(sars-1),C47E12.1
cenix:192-a1	WBGene00004049(parp-1),Y71F9AL.18
mv_F14D7.2	WBGene00008789,F14D7.2
cenix:61-e7	WBGene00005392(srh-177),K02E2.3
sjj_Y63D3A.2	WBGene00013403(fbxb-100),Y63D3A.2
mv_Y49F6B.1	WBGene00021714(cyh-1),Y49F6B.1
sjj_R06F6.2	WBGene00011067(vps-11),R06F6.2
mv_W06D12.5	WBGene00006685(twk-33),W06D12.5
cenix:162-e7	WBGene00005039(sra-13),F49E12.5
cenix:10-f1	WBGene00000871(cye-1),C37A2.4
sjj_T23D5.3	WBGene00011942,T23D5.3
mv_T10B9.10	WBGene00000372(cyp-13A7),T10B9.10
cenix:190-e7	WBGene00219425,Y54G2A.73
cenix:76-f5	WBGene00011935(scrm-1),T22H2.5
cenix:19-e6	WBGene00015283,C01B10.9
mv_C05D11.8	WBGene00015485,C05D11.8
sjj_C24F3.2	WBGene00007697,C24F3.2
sjj_W08E12.i	WBGene00021084,W08E12.3
cenix:172-g5	WBGene00022671,ZK177.3
mv_F33H2.2	WBGene00009366,F33H2.2
mv_C03A7.4	WBGene00004099(abu-15),C03A7.4
mv_T21E12.2	WBGene00015704(tiam-1),C11D9.1
cenix:26-c5	WBGene00007752(wdfy-3),C26H9A.2
mv_ZK1248.15	WBGene00022883,ZK1248.15	WBGene00022885,ZK1248.19
cenix:310-g3	WBGene00017041,D2007.1
cenix:13-d12	WBGene00012162(sek-6),VZC374L.1
TH:337D7_2_2	WBGene00012146,VB0393L.2
mv_F23B2.2	WBGene00006438(nrfl-1),C01F6.6
mv_Y38F1A.7	WBGene00012609,Y38F1A.7
sjj2_B0228.6	WBGene00015063,B0228.6
sjj_F32D8.10	WBGene00009333,F32D8.10
sjj_F14B6.4	WBGene00008785,F14B6.4
sjj_F27D4.1	WBGene00009187,F27D4.1
mv_R11D1.4	WBGene00011245,R11D1.4
mv_C47A10.2	WBGene00005488(srh-283),C47A10.2
mv_F37A4.4	WBGene00018134,F37A4.4
sjj_T12F5.3	WBGene00001601(glh-4),T12F5.3
cenix:29-a11	WBGene00010251(sta-2),F58E6.1
cenix:51-f2	WBGene00008330,C55A6.1
mv_F22E5.8	WBGene00017707,F22E5.8
smd_Y116F11A.b	WBGene00010102,F55C9.5
cenix:101-d1	WBGene00016294,C31H2.4
cenix:178-g10	WBGene00022169,Y71H2AM.4
mv_B0205.9	WBGene00015023,B0205.9
sjj_F55C12.1	WBGene00018869(rfip-1),F55C12.1
sjj_C32E12.2	WBGene00016328(pde-5),C32E12.2
sjj_M01B2.3	WBGene00010797(srbc-75),M01B2.3
cenix:211-e7	WBGene00019607,K10B2.4
sjj2_Y22D7AL.11	WBGene00021249,Y22D7AL.11
TH:330a9	WBGene00004483(rps-14),F37C12.9
sjj_C51G7.b	WBGene00013244,Y56A3A.33
sjj_ZK180.2	WBGene00022675(gbb-2),ZK180.1
cenix:196-e3	WBGene00018057,F35F10.7
cenix:306-e9	WBGene00001613(glr-2),B0280.12
sjj_K07G5.3	WBGene00010642(mks-6),K07G5.3
sjj2_Y50D4B.2	WBGene00021741,Y50D4B.2
sjj_C44E4.5	WBGene00016654,C44E4.5
cenix:300-b6	WBGene00001749(gst-1),R107.7
cenix:90-b3	WBGene00021059(atat-2),W06B11.1
mv_F56A8.6	WBGene00000774(cpf-2),F56A8.6
mv_T09E11.4	WBGene00011653(oac-43),T09E11.4
smd_T14G10.5	WBGene00011775,T14G10.5
sjj_R09B3.1	WBGene00001372(exo-3),R09B3.1
mv_R07B5.6	WBGene00005699(sru-36),R07B5.6
sjj_C14B1.2	WBGene00007573,C14B1.2
sjj_C48G7.1	WBGene00008183(rin-1),C48G7.3
sjj_F02E9.5	WBGene00008530,F02E9.5
sjj2_T05H4.15a	WBGene00020276,T05H4.15
sjj_C11H1.5	WBGene00023500,C11H1.9
TH:309D5	WBGene00019302,K02D10.2
smd_C41D11.3	WBGene00016562,C41D11.3
sjj_F19D8.2	WBGene00008955,F19D8.2
TH:306G8	WBGene00000561(cnd-1),C34E10.7
sjj_Y71H9A.2	WBGene00006068(sto-6),Y71H9A.2
sjj2_Y71F9AL.16	WBGene00000199(arx-1),Y71F9AL.16
cenix:228-b3	WBGene00003477(mtm-5),H28G03.6
sjj_Y71A12B.b	WBGene00006382(taf-1),W04A8.7
sjj_Y48G8A_3945.c	WBGene00004429(rpl-17),Y48G8AL.8
sjj_F28H7.6	WBGene00009239(irld-6),F28H7.6
sjj2_Y53C12A.3	WBGene00013139,Y53C12A.3	WBGene00175030,Y53C12A.10
mv_Y80D3A.4	WBGene00013584(nhr-243),Y80D3A.4
cenix:238-a3	WBGene00003917(par-2),F58B6.3
mv_W02A11.4a	WBGene00006700(uba-2),W02A11.4
mv_M04G12.3	WBGene00001554(gcy-34),M04G12.3
sjj_Y119D3_446.d	WBGene00022347,Y82E9BR.14	WBGene00022354,Y82E9BR.22
cenix:155-d7	WBGene00014135,ZK896.4
mv_K12D9.3	WBGene00005868(srw-121),K12D9.3
mv_Y17G7B.3	WBGene00012459,Y17G7B.3
cenix:68-b12	WBGene00008615,F09C6.1
sjj_C53B4.7	WBGene00000266(bre-1),C53B4.7
mv_G_YK2321	WBGene00015529,C06E2.5
mv_T22D1.3	WBGene00020682,T22D1.3
cenix:25-a6	WBGene00010951,M199.2
cenix:110-e4	WBGene00012533(fbxa-209),Y36E3A.1
TH:332A10	WBGene00021316,Y32H12A.8
cenix:130-e12	WBGene00017913,F29A7.3
TH:326C4	WBGene00012862,Y45F3A.5
cenix:28-g6	WBGene00018984,F56F10.1
sjj_M04D8.2	WBGene00002105(ins-22),M04D8.2
mv_F47B8.6	WBGene00009807(pepm-1),F47B8.6
mv_AC8.4	WBGene00007076,AC8.4
sjj_K04E7.2	WBGene00003877(pept-1),K04E7.2
sjj_F56A4.c	WBGene00018918,F56A4.10
sjj_K01D12.4	WBGene00006669(twk-14),K01D12.4
sjj2_R186.4	WBGene00003031(lin-46),R186.4
mv_C05D11.1	WBGene00015481,C05D11.1
sjj_ZK1010.3	WBGene00014177(frg-1),ZK1010.3
mv_K10B2.2	WBGene00019605(ctsa-1),K10B2.2
sjj_C14A4.2	WBGene00007564(mrps-22),C14A4.14
sjj_C55H1.2	WBGene00001672(gpa-10),C55H1.2
cenix:331-g5	WBGene00013038(ani-1),Y49E10.19
smd_ZC178.2_1	WBGene00022536,ZC178.2
TH:327D6	WBGene00001063(dpy-1),M01E10.2
smd_E02A10.2:2	WBGene00001732(grl-23),E02A10.2
cenix:129-a10	WBGene00008978(cutl-3),F20D1.8
mv_C09G1.2	WBGene00007484,C09G1.2
mv_M117.3	WBGene00010919,M117.3
mv_C07G2.3	WBGene00000380(cct-5),C07G2.3
cenix:55-c9	WBGene00006432(tag-53),F33C8.1
mv_W04G5.3	WBGene00012264,W04G5.3
TH:309f7	WBGene00004433(rpl-21),C14B9.7
TH:335H7	WBGene00014014,ZK632.5
sjj2_Y47D3A.1	WBGene00012922,Y47D3A.1
cenix:172-a4	WBGene00022619,ZC477.4
mv_G_YK2579_1	WBGene00001831(hcp-3),F58A4.3
sjj_C03A7.6	WBGene00005930(srx-39),C03A7.6
mv_Y38C9B.a	WBGene00018976(daam-1),F56E10.2	WBGene00021414,Y38C9B.3
sjj_F18E2.5	WBGene00001675(gpa-13),F18E2.5
cenix:10-f4	WBGene00010612,K07A1.5
cenix:55-h4	WBGene00007464,C08H9.3
cenix:67-g1	WBGene00015375,C03B1.4
cenix:329-b12	WBGene00044319(tag-266),W06E11.5
cenix:205-c10	WBGene00019608(ani-2),K10B2.5
sjj_Y48G8A_3051.a	WBGene00021691,Y48G8AL.13
cenix:129-a1	WBGene00001792(gst-44),F13A7.10
mv_F46C8.8	WBGene00018487,F46C8.8
sjj2_C28G1.6	WBGene00016191,C28G1.6
smd_Y55B1A_115.d	WBGene00003770(nlp-32),F30H5.2
cenix:76-d3	WBGene00000155(app-1),W03G9.4
cenix:44-f8	WBGene00008223(lgc-48),C50B6.11
mv_R05G9.b	WBGene00019905,R05G9.3
mv_Y15E3A.1	WBGene00003681(nhr-91),Y15E3A.1
mv_C07H6.1	WBGene00002986(lig-4),C07H6.1
cenix:341-f3	WBGene00020437(stt-3),T12A2.2
mv_C18A3.4	WBGene00015942(osta-2),C18A3.4
cenix:69-e4	WBGene00005616(srj-29),F22B8.1
sjj_F14H3.2	WBGene00008821(best-12),F14H3.2
cenix:64-b10	WBGene00006154(str-97),F10A3.8
cenix:144-d5	WBGene00004429(rpl-17),Y48G8AL.8	WBGene00021687,Y48G8AL.7
sjj_C42D8.8	WBGene00000149(apl-1),C42D8.8
sjj_Y51H4A.f	WBGene00013103,Y51H4A.7
smd_T19C9.2:2	WBGene00005331(srh-112),T19C9.2
TH:333F10	WBGene00013911(irld-60),ZC482.2
mv_R09D1.13	WBGene00011169,R09D1.13
sjj_C13B7.2_1	WBGene00021569,Y45G12C.6
sjj_F32E10.3	WBGene00017991(clec-180),F32E10.3
TH:335c2	WBGene00001689(gpr-2),C38C10.4
cenix:334-e3	WBGene00010842(ymel-1),M03C11.5
sjj2_F10G2.3	WBGene00017364(clec-7),F10G2.3
smd_R10D12.5	WBGene00011186(clec-226),R10D12.5
mv_ZC196.2	WBGene00022546,ZC196.2
sjj_K10D2.5	WBGene00019631,K10D2.5
sjj_T15B7.4	WBGene00000715(col-142),T15B7.4
mv_Y41C4A.9	WBGene00012756,Y41C4A.9
sjj_Y50D4B_8.b	WBGene00021744(clec-203),Y50D4B.5
mv_C30H6.7	WBGene00007824,C30H6.7
sjj_C37C3.7	WBGene00016499,C37C3.7
cenix:235-d3	WBGene00004888(smo-1),K12C11.2
mv_M01E5.6	WBGene00010808(sepa-1),M01E5.6
sjj_Y37H2C.4	WBGene00012575,Y37H2C.4
mv_F39B2.9	WBGene00043308(tmem-107),F39B2.9
sjj2_F26G5.10	WBGene00017845(srsx-9),F26G5.10
cenix:171-g11	WBGene00022367,Y92H12BM.1
mv_T21D12.5	WBGene00005487(srh-282),T21D12.5
smd_C05G5.2:2	WBGene00007348,C05G5.2
mv_K08D12.1.v7	WBGene00003947(pbs-1),K08D12.1
cenix:310-b7	WBGene00004449(rpl-35),ZK652.4
sjj_ZK520.3	WBGene00001118(dyf-2),ZK520.3
cenix:51-b11	WBGene00010254,F58E6.5
sjj_F58G11.5	WBGene00006442(tag-65),F58G11.5
cenix:58-c2	WBGene00019295(pfkb-1.2),K02B2.1
mv_Y53F4B.23	WBGene00013169,Y53F4B.23
sjj_C01B4.9	WBGene00015273(mct-2),C01B4.9
sjj_T25G12.5	WBGene00020812(acdh-7),T25G12.5
smd_ZK131.8	WBGene00001888(his-14),ZK131.8
mv_G_YK4166	WBGene00008825,F14H3.6
mv_BAA21715	WBGene00006753(unc-14),K10D3.2
mv_G_YK8864	WBGene00021881,Y54G2A.16
sjj2_C39E9.6	WBGene00008030(scl-8),C39E9.6
sjj_C05C9.3	WBGene00007327,C05C9.3
sjj2_C06A6.3	WBGene00015508(mvb-12),C06A6.3
mv_AAA53660	WBGene00000481(cha-1),ZC416.8
cenix:62-f3	WBGene00011354(lgc-13),T01H10.1
cenix:91-g11	WBGene00022859,ZK1193.3
cenix:337-e4	WBGene00015637(srxa-5),C09E7.1
sjj_K08A2.e	WBGene00019513,K08A2.4
TH:306G4	WBGene00019304,K02D10.4
cenix:35-b4	WBGene00014055,ZK669.5
sjj_Y119D3_443.c	WBGene00022103(cdh-12),Y71D11A.1
mv_ZK1248.11	WBGene00022881,ZK1248.11
cenix:144-b1	WBGene00012692,Y39B6A.33
cenix:98-f4	WBGene00020411,T10E9.1
mv_T24F1.6	WBGene00007041(tag-180),T24F1.6
cenix:119-h2	WBGene00018981,F56F4.4
mv_F40H3.4	WBGene00001440(fkh-8),F40H3.4
cenix:200-b11	WBGene00000411(cdl-1),R06F6.1
sjj_ZK180.1	WBGene00022675(gbb-2),ZK180.1
cenix:189-c4	WBGene00012735(sptf-3),Y40B1A.4
sjj_R173.1	WBGene00000283(cah-5),R173.1
TH:309E12	WBGene00015518,C06E1.1
sjj2_W02B3.7	WBGene00020927,W02B3.7
sjj_Y116F11A.zz9	WBGene00012837,Y43F8C.16
sjj_Y18D10A.1	WBGene00012474(attf-6),Y18D10A.1
smd_M03F8.3	WBGene00019762,M03F8.3
cenix:106-f5	WBGene00015424,C04E6.8
mv_T03F1.11	WBGene00020192,T03F1.11
cenix:82-b7	WBGene00015235(cdc-26),B0511.9
mv_R134.1	WBGene00001530(gcy-3),R134.1
mv_F20H11.1	WBGene00017646,F20H11.1
sjj_C47G2.1	WBGene00000851(cut-1),C47G2.1
TH:337A7	WBGene00006513(rimb-1),Y39A3CL.2
sjj2_F55A11.3	WBGene00004768(sel-11),F55A11.3
sjj2_B0286.6	WBGene00023425(try-9),B0286.6
mv_C08G5.6	WBGene00015618,C08G5.6
sjj_K04A8.10	WBGene00019379,K04A8.10
mv_Y52E8A.d	WBGene00021795,Y52E8A.2
TH:225-h2	WBGene00009866,F49C5.3
cenix:21-b8	WBGene00000933(dap-3),C14A4.2
mv_F02D8.4	WBGene00008521,F02D8.4
sjj2_R10D12.9.1	WBGene00011190(swt-6),R10D12.9
TH:196-a7_1	WBGene00008788,F14D7.1
mv_ZK355.1	WBGene00022711(irld-63),ZK355.1
sjj_T01H10.3	WBGene00011356(lgc-15),T01H10.3
smd_C33G8.2	WBGene00016360,C33G8.2
mv_Y80D3A.1	WBGene00006945(wars-1),Y80D3A.1
sjj_F20D6.9	WBGene00017638,F20D6.9
sjj_R13A5.5	WBGene00000437(ceh-13),R13A5.5
sjj2_F40F9.7a	WBGene00009584(drap-1),F40F9.7
cenix:143-g10	WBGene00021321,Y34B4A.5
mv_C41G6.14	WBGene00005538(sri-26),C41G6.14
mv_ZK856.1	WBGene00000840(cul-5),ZK856.1
sjj_Y113G7A.9	WBGene00000940(dcs-1),Y113G7A.9
mv_T18H9.7	WBGene00044077(tag-232),T18H9.7
mv_T23B12.7	WBGene00001040(dnj-22),T23B12.7
mv_ZK637.3	WBGene00014023(lnkn-1),ZK637.3
mv_F55H12.4	WBGene00010135,F55H12.4
mv_C44C10.6	WBGene00008087,C44C10.6
cenix:326-f2	WBGene00011805,T16G12.4
cenix:312-g11	WBGene00017029,D1044.4
cenix:112-a10	WBGene00010494,K02B9.3
mv_C23H3.1	WBGene00001193(egl-26),C23H3.1
cenix:118-c4	WBGene00007948,C35A5.4
sjj_C34G6.1	WBGene00016418(hpo-27),C34G6.1
cenix:26-a3	WBGene00020673,T22B7.4
cenix:91-a2	WBGene00000832(ctn-1),Y23H5A.5
sjj_F37C12.1	WBGene00018149,F37C12.1	WBGene00018155,F37C12.14
mv_C11D2.2	WBGene00015700(asp-9),C11D2.2
sjj2_Y94H6A.10	WBGene00022382,Y94H6A.10
sjj_R12E2.8	WBGene00020034,R12E2.8
cenix:118-c10	WBGene00018853(sec-22),F55A4.1
mv_F27D9.5	WBGene00017864(pcca-1),F27D9.5
mv_ZK896.2	WBGene00010660,K08D8.6
sjj2_Y73C8C.12	WBGene00044524,Y73C8C.12
sjj_C18H7.6	WBGene00015996,C18H7.6
mv_C12D5.5	WBGene00015708,C12D5.5
sjj_F13D2.1	WBGene00008735,F13D2.1
mv_T12A7.1	WBGene00001577(gem-4),T12A7.1	WBGene00011727,T12A7.6	WBGene00011728,T12A7.7
sjj2_Y57G11C.37	WBGene00013326(anoh-2),Y57G11C.37
smd_wee-1.1_2	WBGene00006938(wee-1.1),F35H8.7
mv_C56G2.15	WBGene00016983,C56G2.15
mv_Y63D3A.4	WBGene00013405(tdpt-1),Y63D3A.4
cenix:20-e3	WBGene00009993,F53F4.11
mv_F45F2.13_2	WBGene00001901(his-27),K06C4.13
cenix:133-a6	WBGene00020573,T19D7.5
cenix:57-d9	WBGene00006491(acl-3),ZK809.2
cenix:67-d5	WBGene00006864(npr-16),F56B6.5
mv_F55A4.2	WBGene00018854(nlf-1),F55A4.2
sjj_Y43F11A.4	WBGene00012844,Y43F11A.4
cenix:50-b11	WBGene00015429(sor-3),C04E7.2
TH:305A10	WBGene00019458,K06H7.7
mv_C01B9.1	WBGene00007220,C01B9.1
smd_C38D4.2_2	WBGene00021015(enu-3.3),W03G9.3
sjj_Y80D3A.i_8	WBGene00001258(emb-4),Y80D3A.2
mv_F22H10.3	WBGene00017727,F22H10.3
cenix:42-g1	WBGene00011250,R11H6.2
TH:26-f2	WBGene00020577,T19D12.2
mv_C49H3.10	WBGene00002080(xpo-3),C49H3.10	WBGene00219436,C49H3.16
sjj_C14F11.6	WBGene00015781,C14F11.6
cenix:171-g9	WBGene00001232(eif-3.I),Y74C10AR.1
sjj_Y67D8A_380.e	WBGene00022070,Y67D8C.6
mv_T22H2.3	WBGene00005523(sri-11),T22H2.3
mv_ZK617.2	WBGene00014009(lips-6),ZK617.2
cenix:92-f7	WBGene00023463(srz-82),C09G12.11	WBGene00023474(srz-37),C09G12.16
cenix:214-d1	WBGene00000941(ddp-1),Y39A3CR.4
mv_W02H5.k_1	WBGene00020957,W02H5.2
mv_F54F2.1	WBGene00003929(pat-2),F54F2.1
cenix:118-g6	WBGene00017507,F16B4.5
cenix:48-h7	WBGene00004386(rnp-3),K08D10.3
mv_B0207.1	WBGene00015026,B0207.1
smd_F10D2.2	WBGene00017329(ugt-39),F10D2.2
mv_B0491.3	WBGene00007190(rmd-3),B0491.3
cenix:37-a5	WBGene00007554(pptr-2),C13G3.3
cenix:69-a7	WBGene00018270,F41C3.4
sjj_K09D9.2	WBGene00019565(cyp-35A3),K09D9.2
cenix:169-c8	WBGene00000917(daf-25),Y48G1A.3
sjj_T10H9.2	WBGene00004740(scd-2),T10H9.2
sjj_F52C6.14	WBGene00018671,F52C6.14
mv_Y116A8C.6_1	WBGene00013790,Y116A8C.10
mv_F42A6.1	WBGene00018323,F42A6.1
mv_F13A2.4	WBGene00017413,F13A2.4
mv_ZK849.5	WBGene00014103(best-26),ZK849.5
cenix:137-d6	WBGene00015525(rha-2),C06E1.10
cenix:136-e8	WBGene00018172,F38B6.2
sjj_K08D12.d	WBGene00019536(rpi-2),K08D12.2
cenix:175-b6	WBGene00018930,F56B3.6
cenix:13-d1	WBGene00019026,F58A6.9
sjj_C40H5.4	WBGene00008047(lact-7),C40H5.4
sjj_Y55D5A_392.f	WBGene00021915,Y55D5A.1
sjj_Y116F11A.nn	WBGene00012812,Y43F8B.1
mv_T04A11.10	WBGene00005680(sru-17),T04A11.10
cenix:99-d1	WBGene00011725(lips-5),T12A7.4
sjj_K06B4.11	WBGene00003643(nhr-53),K06B4.11
cenix:246-d5	WBGene00004178(prg-1),D2030.6
mv_C05B10.2	WBGene00020069,R13H7.2
sjj_K05C4.10	WBGene00010586,K05C4.10
mv_Y25C1A.4	WBGene00021291(clec-121),Y25C1A.4
cenix:83-g2	WBGene00005086(srd-8),B0547.4
cenix:73-b12	WBGene00001627(gly-2),C55B7.2
sjj2_Y66H1A.2	WBGene00022044(dpm-1),Y66H1A.2
sjj_F48G7.8	WBGene00018619,F48G7.8
mv_C04G2.4	WBGene00003432(msp-36),C04G2.4
sjj_C26E6.2	WBGene00016138(flh-2),C26E6.2
sjj_F32D8.3	WBGene00009328,F32D8.3	WBGene00043302,F32D8.11
sjj_Y62H9A.12	WBGene00013400,Y62H9A.12
cenix:338-c3	WBGene00013551,Y75B8A.16	WBGene00013552(gmn-1),Y75B8A.17
cenix:138-h1	WBGene00008152,C47E12.9	WBGene00044240,C47E12.14
cenix:304-d11	WBGene00017951(panl-2),F31E3.4
sjj_T19A5.3	WBGene00020554,T19A5.3
cenix:135-a1	WBGene00019368,K03H6.2
sjj2_Y65B4BR.1	WBGene00022040,Y65B4BR.1
sjj_C45B11.4	WBGene00005295(srh-74),C45B11.4
cenix:77-a5	WBGene00005028(sra-2),AH6.6
sjj_F30F8.5	WBGene00009274,F30F8.5
TH:321E1	WBGene00010813(pitp-1),M01F1.7
WBPaper00038381:Y54G2A_1_1	WBGene00021868(atln-1),Y54G2A.2
mv_ZK1240.6	WBGene00022871,ZK1240.6
mv_F52B11.1	WBGene00009924(cfp-1),F52B11.1
cenix:39-g6	WBGene00007166(fbxa-152),B0391.11
cenix:226-c6	WBGene00015775,C14E2.6
cenix:36-f1	WBGene00003567(ncx-2),C10G8.5
mv_T01G9.6a	WBGene00002196(kin-10),T01G9.6
mv_C25F9.9	WBGene00007728,C25F9.9
mv_CAA50178	WBGene00002053(ifb-1),F10C1.2
cenix:199-d8	WBGene00011394,T03D8.7
mv_C13D9.7	WBGene00003573(ncx-8),C13D9.7
mv_E03H4.4	WBGene00008472,E03H4.4
mv_Y26D4A.3	WBGene00012501,Y26D4A.3
mv_Y42G9A.2	WBGene00021532,Y42G9A.2
cenix:99-d4	WBGene00012589(nspe-4),Y38E10A.11
mv_Y39B6B.bb	WBGene00012668,Y39B6A.5
mv_R09E12.1	WBGene00019981(srbc-59),R09E12.1	WBGene00044091(srbc-60),R09E12.8
sjj_K06G5.2	WBGene00010606(cyp-13B2),K06G5.2
cenix:38-a1	WBGene00019814,R02C2.1
sjj_C46G7.1	WBGene00016721,C46G7.1
sjj_F16F9.1	WBGene00017513,F16F9.1
mv_T24D1.1	WBGene00005023(sqv-5),T24D1.1
sjj_ZC374.1	WBGene00013871(gnrr-3),ZC374.1
TH:308D7	WBGene00017775,F25B5.3
sjj_H02F09.3	WBGene00019146,H02F09.3
sjj_Y65B4B_13.b	WBGene00022034(deps-1),Y65B4BL.2
cenix:71-b4	WBGene00004111(pqn-21),C37A2.5
mv_ZK218.1	WBGene00013935,ZK218.1
cenix:70-a10	WBGene00011047,R06A4.2
mv_F41F3.2	WBGene00004928(soc-1),F41F3.2
mv_M6.3	WBGene00004011(pha-2),M6.3
mv_T01B10.4	WBGene00003613(nhr-14),T01B10.4
mv_C56G2.5	WBGene00016980,C56G2.5
sjj_F28F9.3	WBGene00017907,F28F9.3
sjj_T24C4.7	WBGene00020763(ztf-18),T24C4.7
sjj_H03E18.2	WBGene00019149,H03E18.2
sjj2_Y38C1AA.6	WBGene00021397,Y38C1AA.6
sjj_Y48B6A.11	WBGene00012982(jmjd-2),Y48B6A.11
mv_R05D8.4	WBGene00005917(srx-26),R05D8.4
cenix:27-d12	WBGene00012036(clec-103),T26E3.1
